Team,Name
58,"The Riot Crew"
131,"CHAOS"
133,"B.E.R.T."
172,"the Northern Force"
319,"Big Bad Bob"
885,"Ro-bovines"
1058,"PVC Pirates"
1071,"Team MAX"
2523,"Tech Storm"
2648,"Infinite loop"
3461,"Operation peacce"
3597,"Robo-Rangers"
3623,"The TerrorBots"
4041,"Gardiner Iron Tigers"
4055,"NRG"
4311,"Swampscott Currents"
4473,"REM Delta Prime"
4564,"Orange Chaos"
5687,"The Outliers"
5813,"Morpheus"
6153,"Blue Crew"
6224,"Saint Dominators"
6328,"Mechanical Advantage"
6329,"Bucks Wrath"
6337,"Terror Bytes"
9997,"Orange Choas"
9998,"LongMEMEtal Robotics"
9999,"Gerbils Wrath"